map_id,map_date,map_check_id,map_check_date,enl_id,pm_id,doi,status,author_name,pub_year,resolved,reason_for_exclusion,reason_for_contacting,follow_up,follow_up_author_name,email_address,has_been_contacted,permissions,extraction_initials,source_id1,source_id2,source_id3,country,admin1,admin2,admin3,site_name,area_type,rural_urban,lat,long,latlong_source,site_notes,aggregated_studies_count,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,pf,pv,po,pm,pk,pf_pv,pf_po,pf_pm,pv_pm,pv_po,po_pm,pk_pf,pk_pv,pk_pm,pk_po,pf_pv_po,pf_pv_pm,pf_po_pm,pv_po_pm,pf_pv_pk,pf_po_pk,pf_pm_pk,pv_po_pk,pv_pm_pk,po_pm_pk,pf_pv_po_pm,pf_pan_positive,pv_pan_positive,pf_pv_pan_positive,pan_positive_only,species_disaggregated,pf_pr,pv_pr,po_pr,pm_pr,pk_pr,method,rdt_type,pcr_type,study_notes,dhs_survey_text_id,surveyid
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000281,POINT,RURAL,-24.665241999999999,44.797407999999997,GPS,,,5,2016,5,2016,0.7,4,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000280,POINT,RURAL,-23.973804000000001,44.177844,GPS,,,5,2016,5,2016,0.8,4,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000279,POINT,RURAL,-23.511361000000001,44.693066999999999,GPS,,,5,2016,5,2016,1.7,4,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.58823529411764708,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000278,POINT,RURAL,-23.549033999999999,44.323472000000002,GPS,,,5,2016,5,2016,0.9,4,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.36842105263157893,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000277,POINT,RURAL,-23.97034,44.607613000000001,GPS,,,5,2016,5,2016,0.5,4,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.19047619047619047,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000276,POINT,RURAL,-22.471905,44.325221999999997,GPS,,,5,2016,5,2016,0.7,4,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.4375,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000275,POINT,RURAL,-21.712004,45.127097999999997,GPS,,,5,2016,5,2016,0.9,4,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.23076923076923078,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000274,POINT,URBAN,-23.336825999999999,43.667574000000002,GPS,,,6,2016,6,2016,0.8,4,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.071428571428571425,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000273,POINT,URBAN,-23.363133999999999,43.681550000000001,GPS,,,5,2016,6,2016,1.0,4,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.076923076923076927,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000272,POINT,RURAL,-17.919737000000001,45.301963000000001,GPS,,,5,2016,5,2016,0.6,4,46,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.21739130434782608,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000271,POINT,RURAL,-17.341442000000001,44.139761999999997,GPS,,,6,2016,6,2016,0.8,4,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.050000000000000003,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000270,POINT,RURAL,-17.486936,44.301741999999997,GPS,,,6,2016,6,2016,0.7,4,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.032258064516129031,,,,,RDT,,,,MD2016MIS,505
